"rep.sent","dem.sent","trump.sent","rep.ntweets","dem.ntweets","trump.ntweets","dollar","dow.jones","covid.cases","Fecha"
0.279814458878693,0.191901828594495,0.0790458606963585,177,231,35,0.923190546528804,24597.37,31967,2020-05-18
0.264688838892232,0.207712319290486,0.0799490596630511,153,188,22,0.91324200913242,24206.86,13227,2020-05-19
0.280689453799334,0.204237569784404,0.0366589939093572,161,193,49,0.912575287461215,24575.9,24417,2020-05-20
0.239253775996836,0.260121765232977,0.04942386938495,185,165,24,0.909090909090909,24474.12,23310,2020-05-21
0.273198972264802,0.236398387958376,0.207944567621216,149,227,48,0.917094644167278,24465.16,22787,2020-05-22
0.30084655987976,0.276334006386104,0.0358021024298098,38,73,34,0.912825193975354,24474.12,20475,2020-05-23
0.2993829250601,0.22377980410877,0.0843597114810132,25,91,39,0.914118561177385,24730.135,24151,2020-05-24
0.313015241775605,0.156140246328428,0.159930818392138,50,136,44,0.916590284142988,25548.27,26158,2020-05-25
0.211380367260076,0.200121265605231,-0.065922155302218,132,179,18,0.911161731207289,24995.11,15253,2020-05-26
0.254158591890382,0.198880657396178,-0.0411403994046532,120,304,40,0.909835319807115,25548.27,24886,2020-05-27
0.283259496753788,0.217552793056441,0.0536672189233732,177,207,63,0.907770515613653,25400.64,16362,2020-05-28
0.274559535674537,0.131031732992625,-0.029614577911049,154,228,17,0.897988505747127,25383.11,19606,2020-05-29
0.187637829420966,0.101697816372431,-0.0453142510711204,70,103,29,0.90366889571661,25437.83,21214,2020-05-30
0.15929447393827,0.0665627767113205,0.016407239164331,101,141,29,0.897988505747127,25383.11,17962,2020-05-31
0.124019356989747,0.0990360316380309,-0.0559508216367641,153,227,12,0.899604174163368,25475.02,23482,2020-06-01
